name,price,age,sp_school,sp_subway,sp_hospital,sp_mall,sp_office
远洋新干线,82850,17,1503.317,1720.816,1000.922,1819.522,2095.036
金隅万科城,48196,10,1085.473,1600.334,618.589,19946.943,2684.699
绿景苑,134370,19,306.116,812.608,2924.536,1157.343,3062.489
远洋风景,134437,18,498.877,488.751,712.232,815.189,1011.13
望春园,69376,14,11.708,1206.514,2749.237,2936.795,2788.995
东区国际公寓,71255,17,8728.085,32332.905,14053.687,33166.865,40903.489
保利百合花园,108648,14,8428.002,34070.981,24294.404,36840.91,63021.146
纳帕溪谷,45914,17,176.914,7862.314,2046.32,15658.848,18196.15
中粮天恒天悦壹号,74493,2,1519.784,1123.748,4271.128,8873.939,12036.841
香山清琴,161280,14,443.769,5714.113,1919.902,7287.054,4495.628
合生霄云路8号,146702,9,984.837,628.836,933.453,0.0,1473.785
泛海世家西府,171956,5,804.915,3162.01,248.464,1528.515,5178.722
泛海国际樱海园,126066,14,8428.002,34070.981,24294.404,36840.91,63021.146
青年汇佳园,90669,16,767.247,1025.22,535.392,704.134,4364.962
季景沁园,92457,14,815.044,384.475,929.448,1044.991,1837.233
珠江骏景北区,72521,18,8728.085,32332.905,14053.687,33166.865,40903.489
北京城建海梓府,78955,7,2032.903,5762.459,3542.727,14283.201,16649.518
招商嘉铭珑原,87069,10,1503.257,1101.516,867.532,1636.437,1370.802
兴隆都市馨园,114723,19,14101.108,44520.486,18092.965,59728.144,59031.915
九龙花园,66422,9,162.631,1102.685,4396.11,1517.237,2817.26
北京城建世华泊郡,92343,10,343.734,1856.602,1437.926,2131.143,2423.525
华纺易城,87277,12,1222.85,6113.922,1845.257,3946.17,8282.893
远洋山水(北区),79542,14,8728.085,32332.905,14053.687,33166.865,40903.489
新里西斯莱公馆,58069,9,8728.085,32332.905,14053.687,33166.865,40903.489
金科帕提欧,34109,13,3811.367,11496.767,3942.847,16460.258,17103.627
大成郡,92156,11,2324.993,3452.773,3407.752,2890.514,6078.383
天通苑北一区,44475,18,590.517,1805.512,1027.804,3434.61,5607.56
九号公寓,72869,12,2092.466,1760.892,2619.417,3333.833,2036.472
天鹅湾(北区),124696,13,8728.085,32332.905,14053.687,33166.865,40903.489
润泽悦溪,112865,12,957.801,900.047,1742.943,3885.912,3891.023
华贸公寓,102957,17,328.972,1600.572,3229.758,2354.69,949.139
雍景四季,67967,12,21110.824,54392.756,45131.973,57162.685,83342.921
京洲世家,42127,12,8728.085,32332.905,14053.687,33166.865,40903.489
观承别墅,78964,1,5219.242,3298.605,7970.586,7859.401,13641.577
逸成东苑,110588,16,8676.275,34319.254,24542.677,37089.183,63269.419
世纪东方嘉园(南区),68922,18,8428.002,34070.981,24294.404,36840.91,63021.146
永泰东里,81876,22,10536.296,34141.116,15861.898,34975.076,42711.7
沿海赛洛城(南区),74371,15,17349.017,93560.35,15595.074,95598.964,94902.735
北辰红橡墅,38804,7,6181.725,33352.124,21026.511,37786.674,36940.138
椿树园奥运社区,143814,23,10536.296,34141.116,15861.898,34975.076,42711.7
上地佳园,128857,17,305.438,2481.654,1558.706,1839.85,1760.019
华龙苑南里,61123,27,8428.002,34070.981,24294.404,36840.91,63021.146
农光里小区,68189,27,730.833,1524.0,4527.328,3590.577,4226.07
怡海花园富润园,61202,21,521.455,1449.237,231.483,4031.485,1247.139
马家堡西里,59284,37,200.604,1141.814,952.531,1787.853,3574.957
北分厂家属区,67569,32,3920.136,24893.327,16363.295,29897.773,29595.647
亚运新新家园,109216,22,1735.757,2554.627,2859.981,3678.042,2485.408
亿城西山华府禧园,101419,11,21110.824,54392.756,45131.973,57162.685,83342.921
西山美墅馆,114836,18,21110.824,54392.756,45131.973,57162.685,83342.921
合顺家园,52573,7,1144.936,1293.033,3160.791,2941.335,7672.789
