name, year, price, lat, lng
保利百合花园,2008,108648,22.31780403,112.553739
纳帕溪谷,2005,45914,40.17664868,116.4321168
中粮天恒天悦壹号,2020,74493,40.12058209,116.4693877
香山清琴,2008,161280,39.98581101,116.2212755
合生霄云路8号,2013,146702,39.96891011,116.486614
泛海世家西府,2017,171956,39.94947953,116.5086135
泛海国际樱海园,2008,126066,30.61011118,114.2565957
青年汇佳园,2006,90669,39.92869032,116.5194385
季景沁园,2008,92457,40.00144347,116.4619274
珠江骏景北区,2004,72521,22.51978314,114.2186509
北京城建海梓府,2015,78955,40.15650008,116.424846
招商嘉铭珑原,2012,87069,40.04560843,116.4058704
兴隆都市馨园,2003,114723,40.42432121,117.4991073
九龙花园,2013,66422,39.90004219,116.4772282
北京城建世华泊郡,2012,92343,39.99151391,116.3605291
华纺易城,2010,87277,39.96737602,116.56612
远洋山水(北区),2008,79542,22.51978314,114.2186509
新里西斯莱公馆,2013,58069,32.47648603,115.1868197
金科帕提欧,2009,34109,40.18904046,116.4019528
大成郡,2011,92156,39.89456756,116.2750936
天通苑北一区,2004,44475,40.08068318,116.4235561
九号公寓,2010,72869,40.0126897,116.2556098
天鹅湾(北区),2009,124696,22.51978314,114.2186509
人济山庄,2003,117976, None, None
润泽悦溪,2010,112865,40.0591809,116.4367873
华贸公寓,2005,102957,39.91758108,116.486936
雍景四季,2010,67967,32.27920763,108.8818802
京洲世家,2010,42127,25.52776966,114.6071429
观承别墅,2021,78964,40.13104905,116.499987
逸成东苑,2006,110588,38.03560621,114.5440937
世纪东方嘉园(南区),2004,68922,19.10110473,108.6585665
永泰东里,2000,81876,25.87278726,118.9384307
沿海赛洛城(南区),2007,74371,40.625789,122.227821
北辰红橡墅,2015,38804,39.23034391,117.1414027
椿树园奥运社区,1999,143814,32.44241641,120.9165595
上地佳园,2005,128857,40.03832865,116.3245631
华龙苑南里,1995,61123,35.79013623,115.0534066
农光里小区,1995,68189,39.88982887,116.4710664
怡海花园富润园,2001,61202,39.83751476,116.3084069
马家堡西里,1985,59284,39.85883762,116.380721
北分厂家属区,1990,67569,39.73312802,117.2902992
亚运新新家园,2000,109216,40.01732209,116.441104
亿城西山华府禧园,2011,101419,24.96920358,102.6456747
西山美墅馆,2004,114836,25.04319876,102.6715571
合顺家园,2015,52573,39.81561009,116.380314
北京壹号庄园(东方普罗旺斯四期),2015,78504,40.13443206,116.455647
嘉润花园,2001,65517,39.99167864,116.48536
八家嘉园,2014,86825,40.66644949,118.2796384
西山壹号院(北区),2011,108269,24.99354435,102.7043379
北京太阳城,2009,36208,39.86818608,116.404847
富力尚悦居,2015,32353,47.28626733,130.2914297
林奥嘉园,2014,74923,40.0408381,116.4143131
荣丰2008,2007,165249,39.90028007,116.343326
兴隆家园(北区),2002,66400,40.45244417,117.5239422
依莲轩,2001,109642,39.89091166,116.3349543
珠江骏景中区,2002,70713,24.14500686,120.6903451
左安漪园,2005,107629,26.12475996,114.2762828
西湖新村,2003,36081,40.12519412,116.4233014
怡海花园恒泰园,2005,69607,39.83751476,116.3084069
中粮瑞府,2016,100405,40.05578707,116.525971
沿海赛洛城(北区),2007,67431,22.51978314,114.2186509
中国院子,2010,111321,30.41016464,120.0584531
泛海国际碧海园,2008,119151,39.94559197,116.5030547
马连道中里(三区),2000,118210,23.25273061,109.6293895
鸿坤林语墅,2017,73730,39.79462512,116.3480355
钓鱼台7号院,2011,172346,39.65264686,118.2083843
新起点嘉园,2005,115128,39.96761539,116.3106941
枫丹丽舍,2003,85591,40.06977546,116.3683109
宋家庄家园,1991,60236,37.27370072,114.1107267
蓝堡国际公寓,2005,104771,39.91762722,116.4832846
育新花园,1999,78370,43.53724403,122.1859631
万科星园,2001,92544,40.03496278,116.419298
松榆西里,1998,63611,38.03312972,114.4366769
珠江帝景(B区),2004,108916,39.89355431,116.4897628
西山庭院,2015,106752,25.04319876,102.6715571
利泽西园,2004,88929,36.06199211,103.8077064
今典花园,2014,113741,39.95931328,116.3663596
芳城园(一区),1992,67319,39.87454252,116.4401161
京铁家园,2004,55933,39.89955308,116.286704
保利春天里,2015,46954,39.67839856,116.328412
怡海花园恒丰园,2005,68894,39.83751476,116.3084069
上京新航线,2007,106252,25.72606557,117.680913
远洋山水(南区),2008,76794,24.12296262,120.6746931
永丰嘉园(百旺杏林湾),2018,66111,27.3243421,115.4474024
京贸国际城,2015,59706,39.92485711,116.69099
富力十号,2012,171367,47.28626733,130.2914297
风林绿洲,2002,102573,40.00675944,116.3900137
珠江罗马嘉园(西区),2004,79941,22.70764722,113.5493928
缘溪堂,2006,107314,39.91813454,116.3179056
富卓苑,2004,63008,31.34981891,119.822811
梵谷水郡,2008,67853,39.9665941,116.5133484
公园1872,2013,95457,39.93189272,116.5040073
中海御鑫阁,2013,70837,39.92575654,116.3933609
万国城MOMA,2007,123938,39.9537261,116.445633
富力又一城(C区公寓住宅),2009,61174,47.28626733,130.2914297
上元君庭,2008,80898,40.03160233,116.4190822
望京花园西区,1998,90464,40.01324003,116.4768965
保利海德公园,2015,172413,39.97995227,116.3576652
远见名苑(一期),2005,115252,39.89162165,116.3448997
望京花园东区,2002,91509,40.01357548,116.4816299
棕榈滩别墅,2014,102340,40.05979415,116.5751593
倚林佳园,2002,104456,40.0207769,116.3790153
中海安德鲁斯庄园(东区),2006,61743,39.89048642,116.5313352
首开华润城,2018,96584,39.99898542,116.4804566
香江花园(别墅),1997,111967,40.03748029,116.5296239
金泉家园,2004,94324,30.71410468,103.986761
嘉慧苑,2000,62992,39.95061744,116.3126466
时代国际嘉园,2007,100045,39.90050584,116.4717315
清友园,2002,59624,40.04536402,116.4345277
新景家园(西区),2013,119570,35.20297548,105.5813411
望京西园一区,1997,78080,40.0103077,116.4801673
一品亦庄,2005,62754,39.80914229,116.5064525
清上园,2003,83972,40.04473518,116.3370566
万城华府玺园,2006,179676,39.97889979,116.2968451
首开万科城市之光,2015,56728,39.99898542,116.4804566
国瑞城(西区),2013,107093,36.63449698,101.7724142
威尼斯花园,2006,38213,40.1154766,116.426069
万科公园五号,2010,95286,39.9309081,116.484296
风度柏林,2004,92754,39.89530928,116.482341
保利罗兰香谷,2013,60050,40.1261502,116.2699372
金隅瑞和园,2012,75225,39.92657842,116.2407515
新世界家园,2004,146336,39.90090728,116.4233846
三环新城7号院,2003,62283,39.85722613,116.3139947
中海瓦尔登湖,2006,61556,40.11941262,116.3226225
国融国际,2008,39631,39.80769625,116.5081559
万科四季花城,2010,45682,40.13199801,116.6431828
金泰城丽湾,2007,94992,39.87603005,116.3489226
四合上院,2011,173553,27.92373555,102.2739937
石榴园南里小区,2001,54254,36.67386896,112.6901751
角门东里小区,1993,56985,38.03639673,114.476661
华业玫瑰东方,2006,115695,19.10110473,108.6585665
北街家园(六区),2008,56364,26.25261094,105.9383214
石榴园北里小区,2001,55532,39.85363565,116.427877
天恒别墅山,2008,58080,40.36324514,116.6304893
华润公元九里,2016,67669,34.3090431,117.1422453
上林世家,2013,123251,23.43851888,108.6114515
康泽佳苑,2010,39855,39.77257129,116.2132781
凤凰城(一期二期四期),2002,122897,40.46582033,124.0743204
太平桥东里小区,1994,75331,39.80585269,116.4641149
翠海明苑,2005,56907,39.81502962,116.3670719
银河湾,2011,100927,39.73992754,115.9590423
天秀花园古月园,2003,83474,40.02899206,116.278322
长岛澜桥,2004,90510, None, None
大方居,2010,36383,39.8819777,116.6363269
北亚花园,1998,37083,40.13578606,116.427739
裘马都,2008,112777,39.97172901,116.464437
金科王府,2011,39203,32.01941474,112.1643882
